lr-AdamW,step,val/loss,val/acc,val/confidence_mean,val/entropy,epoch,train/loss_epoch,train/acc_epoch,train/confidence_mean,train/loss_step,train/acc_step,test/loss,test/acc,test/acc_agg
,899,2.0616025924682617,0.1319444477558136,0.14139162003993988,2.0591959953308105,24,,,,,,,,
,899,,,,,24,2.075819492340088,0.1059027761220932,0.15407879650592804,,,,,
0.001,900,,,,,,,,,,,,,
,935,2.059558868408203,0.1319444477558136,0.14017103612422943,2.061201572418213,25,,,,,,,,
,935,,,,,25,2.070094585418701,0.125,0.15340030193328857,,,,,
0.001,936,,,,,,,,,,,,,
,949,,,,,26,,,,2.0894386768341064,0.0625,,,
,971,2.059014320373535,0.1319444477558136,0.1406213492155075,2.0612330436706543,26,,,,,,,,
,971,,,,,26,2.0736703872680664,0.1302083283662796,0.1563916951417923,,,,,
0.001,972,,,,,,,,,,,,,
,999,,,,,27,,,,2.0177676677703857,0.15625,,,
,1007,2.059431791305542,0.1388888955116272,0.14002123475074768,2.0611519813537598,27,,,,,,,,
,1007,,,,,27,2.069990873336792,0.1189236119389534,0.15017768740653992,,,,,
0.001,1008,,,,,,,,,,,,,
,1043,2.0588436126708984,0.1388888955116272,0.14243026077747345,2.061567544937134,28,,,,,,,,
,1043,,,,,28,2.0663928985595703,0.1328125,0.14755813777446747,,,,,
0.001,1044,,,,,,,,,,,,,
,1049,,,,,29,,,,2.0457983016967773,0.1875,,,
,1079,2.058600902557373,0.1388888955116272,0.14204029738903046,2.059579849243164,29,,,,,,,,
,1079,,,,,29,2.067898750305176,0.1206597238779068,0.15135139226913452,,,,,
0.001,1080,,,,,,,,,,,,,
,1099,,,,,30,,,,2.0337862968444824,0.15625,,,
,1115,2.0582616329193115,0.1388888955116272,0.1414288431406021,2.061603546142578,30,,,,,,,,
,1115,,,,,30,2.067784547805786,0.1171875,0.14778751134872437,,,,,
0.001,1116,,,,,,,,,,,,,
,1149,,,,,31,,,,2.0381124019622803,0.09375,,,
,1151,2.059645414352417,0.1319444477558136,0.13901084661483765,2.0608181953430176,31,,,,,,,,
,1151,,,,,31,2.062737464904785,0.1423611044883728,0.152787983417511,,,,,
0.001,1152,,,,,,,,,,,,,
,1187,2.059631109237671,0.1388888955116272,0.1427326649427414,2.0602352619171143,32,,,,,,,,
,1187,,,,,32,2.070927381515503,0.1284722238779068,0.15246906876564026,,,,,
0.001,1188,,,,,,,,,,,,,
,1199,,,,,33,,,,2.0752220153808594,0.125,,,
,1223,2.0595951080322266,0.1319444477558136,0.13783900439739227,2.062898635864258,33,,,,,,,,
,1223,,,,,33,2.06851863861084,0.1258680522441864,0.14887520670890808,,,,,
0.001,1224,,,,,,,,,,,,,
,1249,,,,,34,,,,2.012601613998413,0.125,,,
,1259,2.0587241649627686,0.1388888955116272,0.1417255699634552,2.061305284500122,34,,,,,,,,
,1259,,,,,34,2.069586992263794,0.1085069477558136,0.14966069161891937,,,,,
0.001,1260,,,,,,,,,,,,,
,1295,2.0587103366851807,0.1319444477558136,0.1398557722568512,2.0592241287231445,35,,,,,,,,
,1295,,,,,35,2.0641229152679443,0.1484375,0.14635443687438965,,,,,
0.001,1296,,,,,,,,,,,,,
,1299,,,,,36,,,,2.031813859939575,0.15625,,,
,1331,2.0605311393737793,0.1319444477558136,0.1518193781375885,2.0573441982269287,36,,,,,,,,
,1331,,,,,36,2.0689380168914795,0.1189236119389534,0.14987605810165405,,,,,
0.001,1332,,,,,,,,,,,,,
,1349,,,,,37,,,,2.1056478023529053,0.0625,,,
,1367,2.060082197189331,0.1388888955116272,0.1438034325838089,2.0575547218322754,37,,,,,,,,
,1367,,,,,37,2.0700666904449463,0.125,0.15296636521816254,,,,,
0.001,1368,,,,,,,,,,,,,
,1399,,,,,38,,,,2.105963945388794,0.0625,,,
,1403,2.058590888977051,0.1319444477558136,0.1420842409133911,2.0595829486846924,38,,,,,,,,
,1403,,,,,38,2.06972336769104,0.1319444477558136,0.1478244513273239,,,,,
0.001,1404,,,,,,,,,,,,,
,1439,2.0598433017730713,0.1319444477558136,0.1452832967042923,2.058216094970703,39,,,,,,,,
,1439,,,,,39,2.0677497386932373,0.1354166716337204,0.15069414675235748,,,,,
0.001,1440,,,,,,,,,,,,,
,1449,,,,,40,,,,2.0534815788269043,0.125,,,
,1475,2.0590243339538574,0.1319444477558136,0.1362629383802414,2.062915802001953,40,,,,,,,,
,1475,,,,,40,2.068953514099121,0.1284722238779068,0.14838001132011414,,,,,
,1476,,,,,41,,,,,,2.063373327255249,0.1319444477558136,0.1319444477558136
