lr-AdamW,step,val/loss,val/acc,val/confidence_mean,val/entropy,epoch,train/loss_epoch,train/acc_epoch,train/confidence_mean,train/loss_step,train/acc_step
,971,,,,,26,2.072265863418579,0.1258680522441864,0.15613707900047302,,
0.001,972,,,,,,,,,,
,999,,,,,27,,,,2.0146327018737793,0.15625
,1007,2.059056282043457,0.1388888955116272,0.14001737534999847,2.0609982013702393,27,,,,,
,1007,,,,,27,2.070232629776001,0.1171875,0.15005654096603394,,
0.001,1008,,,,,,,,,,
,1043,2.0588321685791016,0.1388888955116272,0.14189273118972778,2.061116933822632,28,,,,,
,1043,,,,,28,2.06563663482666,0.1345486044883728,0.14792808890342712,,
0.001,1044,,,,,,,,,,
,1049,,,,,29,,,,2.043292760848999,0.21875
,1079,2.0584516525268555,0.1388888955116272,0.14283427596092224,2.0589699745178223,29,,,,,
,1079,,,,,29,2.0694081783294678,0.1163194477558136,0.15160419046878815,,
0.001,1080,,,,,,,,,,
,1099,,,,,30,,,,2.0281498432159424,0.21875
,1115,2.0583853721618652,0.1388888955116272,0.14297646284103394,2.0620505809783936,30,,,,,
,1115,,,,,30,2.0671396255493164,0.1328125,0.14798414707183838,,
0.001,1116,,,,,,,,,,
,1149,,,,,31,,,,2.0397419929504395,0.125
,1151,2.059634208679199,0.1875,0.1382823884487152,2.0613853931427,31,,,,,
,1151,,,,,31,2.0639357566833496,0.1345486044883728,0.15236860513687134,,
0.001,1152,,,,,,,,,,
,1187,2.059753179550171,0.1388888955116272,0.14260146021842957,2.059563636779785,32,,,,,
,1187,,,,,32,2.0698659420013428,0.1258680522441864,0.15202514827251434,,
0.001,1188,,,,,,,,,,
,1199,,,,,33,,,,2.077749252319336,0.125
,1223,2.059629201889038,0.1319444477558136,0.1384667009115219,2.062311887741089,33,,,,,
,1223,,,,,33,2.0692977905273438,0.1154513880610466,0.14891739189624786,,
0.001,1224,,,,,,,,,,
,1249,,,,,34,,,,2.0123326778411865,0.09375
,1259,2.0588114261627197,0.1388888955116272,0.14278152585029602,2.061336040496826,34,,,,,
,1259,,,,,34,2.0693905353546143,0.1215277761220932,0.14927323162555695,,
0.001,1260,,,,,,,,,,
,1295,2.059027671813965,0.1319444477558136,0.14186197519302368,2.0585837364196777,35,,,,,
,1295,,,,,35,2.0650391578674316,0.1284722238779068,0.14652790129184723,,
0.001,1296,,,,,,,,,,
,1299,,,,,36,,,,2.0261623859405518,0.1875
,1331,2.0602285861968994,0.1319444477558136,0.15030482411384583,2.0572423934936523,36,,,,,
,1331,,,,,36,2.067964792251587,0.1449652761220932,0.14934450387954712,,
0.001,1332,,,,,,,,,,
,1349,,,,,37,,,,2.105475664138794,0.0625
,1367,2.0592784881591797,0.1388888955116272,0.141513392329216,2.0583527088165283,37,,,,,
,1367,,,,,37,2.0709590911865234,0.1067708358168602,0.151769757270813,,
0.001,1368,,,,,,,,,,
,1399,,,,,38,,,,2.104370594024658,0.03125
,1403,2.058385133743286,0.1319444477558136,0.14047841727733612,2.0605344772338867,38,,,,,
,1403,,,,,38,2.068046808242798,0.1189236119389534,0.14732088148593903,,
0.001,1404,,,,,,,,,,
,1439,2.059675931930542,0.1319444477558136,0.14460042119026184,2.058011770248413,39,,,,,
,1439,,,,,39,2.0686211585998535,0.1293402761220932,0.14943142235279083,,
0.001,1440,,,,,,,,,,
,1449,,,,,40,,,,2.0513007640838623,0.125
,1475,2.0590426921844482,0.1319444477558136,0.1362634152173996,2.062955856323242,40,,,,,
,1475,,,,,40,2.0675227642059326,0.1380208283662796,0.14774824678897858,,
0.001,1476,,,,,,,,,,
,1499,,,,,41,,,,2.1022257804870605,0.09375
,1511,2.059415102005005,0.1319444477558136,0.1397472769021988,2.063359022140503,41,,,,,
,1511,,,,,41,2.068695545196533,0.1328125,0.1483556181192398,,
0.001,1512,,,,,,,,,,
,1547,2.059734582901001,0.1319444477558136,0.13844040036201477,2.06343412399292,42,,,,,
,1547,,,,,42,2.0647571086883545,0.1371527761220932,0.14637571573257446,,
0.001,1548,,,,,,,,,,
,1549,,,,,43,,,,2.0486981868743896,0.1875
,1583,2.058589220046997,0.1319444477558136,0.13890309631824493,2.0603861808776855,43,,,,,
,1583,,,,,43,2.067885637283325,0.125,0.14602838456630707,,
0.001,1584,,,,,,,,,,
,1599,,,,,44,,,,2.0643677711486816,0.125
,1619,2.059863567352295,0.1319444477558136,0.14065811038017273,2.061420440673828,44,,,,,
,1619,,,,,44,2.0667829513549805,0.1232638880610466,0.1468300223350525,,
0.001,1620,,,,,,,,,,
,1649,,,,,45,,,,2.081747055053711,0.1875
,1655,2.059353828430176,0.1319444477558136,0.14229971170425415,2.061516046524048,45,,,,,
,1655,,,,,45,2.0675101280212402,0.1284722238779068,0.14743229746818542,,
0.001,1656,,,,,,,,,,
,1691,2.0590426921844482,0.1319444477558136,0.14235059916973114,2.062350034713745,46,,,,,
,1691,,,,,46,2.0660619735717773,0.1258680522441864,0.14884886145591736,,
0.001,1692,,,,,,,,,,
,1699,,,,,47,,,,2.073626756668091,0.15625
,1727,2.0588672161102295,0.1319444477558136,0.1396254003047943,2.0620715618133545,47,,,,,
,1727,,,,,47,2.067592144012451,0.1241319477558136,0.149065300822258,,
0.001,1728,,,,,,,,,,
,1749,,,,,48,,,,2.1047308444976807,0.0625
,1763,2.0586256980895996,0.1319444477558136,0.14267010986804962,2.0593631267547607,48,,,,,
,1763,,,,,48,2.068182945251465,0.1119791641831398,0.14644823968410492,,
