lr-AdamW,step,val/loss,val/acc,val/confidence_mean,val/entropy,epoch,train/loss,train/acc,train/confidence_mean,test/loss,test/acc,test/acc_agg
0.001,0,,,,,,,,,,,
,35,2.096921682357788,0.1319444477558136,0.17543625831604004,2.033389091491699,0,,,,,,
,35,,,,,0,2.108121633529663,0.1241319477558136,0.18132226169109344,,,
0.001,36,,,,,,,,,,,
,71,2.125023365020752,0.1388888955116272,0.1934005618095398,2.0059633255004883,1,,,,,,
,71,,,,,1,2.0858449935913086,0.1293402761220932,0.1769593507051468,,,
0.001,72,,,,,,,,,,,
,107,2.062152624130249,0.1319444477558136,0.15538106858730316,2.055941581726074,2,,,,,,
,107,,,,,2,2.088529109954834,0.1484375,0.178420290350914,,,
0.001,108,,,,,,,,,,,
,143,2.06840181350708,0.1319444477558136,0.1717180460691452,2.0512537956237793,3,,,,,,
,143,,,,,3,2.0741994380950928,0.1414930522441864,0.15245383977890015,,,
0.001,144,,,,,,,,,,,
,179,2.063220500946045,0.1388888955116272,0.1535068303346634,2.051645040512085,4,,,,,,
,179,,,,,4,2.0720067024230957,0.1414930522441864,0.15701600909233093,,,
0.001,180,,,,,,,,,,,
,215,2.058717966079712,0.1319444477558136,0.14224773645401,2.059981346130371,5,,,,,,
,215,,,,,5,2.071425437927246,0.1215277761220932,0.1522413045167923,,,
0.001,216,,,,,,,,,,,
,251,2.067227602005005,0.1388888955116272,0.16739721596240997,2.0457937717437744,6,,,,,,
,251,,,,,6,2.0658326148986816,0.1319444477558136,0.1466560810804367,,,
0.001,252,,,,,,,,,,,
,287,2.0608415603637695,0.1319444477558136,0.1448487639427185,2.064464807510376,7,,,,,,
,287,,,,,7,2.0701937675476074,0.1189236119389534,0.14476411044597626,,,
0.001,288,,,,,,,,,,,
,323,2.060767650604248,0.1319444477558136,0.1413874626159668,2.0670530796051025,8,,,,,,
,323,,,,,8,2.065882682800293,0.1276041716337204,0.14311015605926514,,,
0.001,324,,,,,,,,,,,
,359,2.0626113414764404,0.1319444477558136,0.13534274697303772,2.0710268020629883,9,,,,,,
,359,,,,,9,2.065497636795044,0.1293402761220932,0.14576676487922668,,,
0.001,360,,,,,,,,,,,
,395,2.057990312576294,0.1319444477558136,0.13795587420463562,2.0556797981262207,10,,,,,,
,395,,,,,10,2.066607713699341,0.1267361044883728,0.13812658190727234,,,
0.001,396,,,,,,,,,,,
,431,2.0606722831726074,0.1527777761220932,0.14053884148597717,2.0666651725769043,11,,,,,,
,431,,,,,11,2.0639147758483887,0.1241319477558136,0.14009469747543335,,,
0.001,432,,,,,,,,,,,
,467,2.060725212097168,0.1319444477558136,0.13733309507369995,2.0681216716766357,12,,,,,,
,467,,,,,12,2.064302444458008,0.1354166716337204,0.15275847911834717,,,
0.001,468,,,,,,,,,,,
,503,2.0612871646881104,0.1319444477558136,0.14024057984352112,2.068378448486328,13,,,,,,
,503,,,,,13,2.0699102878570557,0.1414930522441864,0.1500978171825409,,,
0.001,504,,,,,,,,,,,
,539,2.0608761310577393,0.1319444477558136,0.13592976331710815,2.0697731971740723,14,,,,,,
,539,,,,,14,2.0688259601593018,0.1276041716337204,0.14105196297168732,,,
0.001,540,,,,,,,,,,,
,575,2.0599324703216553,0.1319444477558136,0.14002150297164917,2.060068368911743,15,,,,,,
,575,,,,,15,2.0662548542022705,0.1336805522441864,0.14381587505340576,,,
0.001,576,,,,,,,,,,,
,611,2.067206621170044,0.1319444477558136,0.15159429609775543,2.038943290710449,16,,,,,,
,611,,,,,16,2.068173408508301,0.1258680522441864,0.1439587026834488,,,
0.001,612,,,,,,,,,,,
,647,2.062962293624878,0.1319444477558136,0.1392378956079483,2.0700721740722656,17,,,,,,
,647,,,,,17,2.0643458366394043,0.1328125,0.1444069743156433,,,
0.001,648,,,,,,,,,,,
,683,2.0600717067718506,0.1319444477558136,0.13886067271232605,2.0662617683410645,18,,,,,,
,683,,,,,18,2.067845344543457,0.1267361044883728,0.1506786048412323,,,
0.001,684,,,,,,,,,,,
,719,2.0796868801116943,0.1388888955116272,0.19074803590774536,2.0197834968566895,19,,,,,,
,719,,,,,19,2.0884294509887695,0.1111111119389534,0.16536752879619598,,,
0.001,720,,,,,,,,,,,
,755,2.0917892456054688,0.1319444477558136,0.17236822843551636,2.058525800704956,20,,,,,,
,755,,,,,20,2.1130685806274414,0.1319444477558136,0.19396306574344635,,,
0.001,756,,,,,,,,,,,
,791,2.0637004375457764,0.1319444477558136,0.13186883926391602,2.0737464427948,21,,,,,,
,791,,,,,21,2.07137393951416,0.1258680522441864,0.14898061752319336,,,
0.001,792,,,,,,,,,,,
,827,2.0618088245391846,0.1319444477558136,0.150340735912323,2.0477285385131836,22,,,,,,
,827,,,,,22,2.0668914318084717,0.1137152761220932,0.13937219977378845,,,
0.001,828,,,,,,,,,,,
,863,2.0789794921875,0.1319444477558136,0.1832546442747116,2.038252115249634,23,,,,,,
,863,,,,,23,2.066011667251587,0.1527777761220932,0.14911484718322754,,,
0.001,864,,,,,,,,,,,
,899,2.059950828552246,0.1319444477558136,0.1373549997806549,2.0659608840942383,24,,,,,,
,899,,,,,24,2.066826581954956,0.1319444477558136,0.1492547243833542,,,
0.001,900,,,,,,,,,,,
,935,2.0587680339813232,0.1319444477558136,0.13818074762821198,2.0597941875457764,25,,,,,,
,935,,,,,25,2.063581943511963,0.1345486044883728,0.13809451460838318,,,
,936,,,,,26,,,,2.0641610622406006,0.1319444477558136,0.1319444477558136
